TagName,Count
"javascript","1311588"
"java","1203807"
"c#","1054138"
"php","1031183"
"android","945318"
"jquery","811505"
"python","694800"
"html","619193"
"c++","495583"
"ios","488724"
"css","446292"
"mysql","443304"
"sql","370098"
"asp.net","308632"
"objective-c","272596"
"ruby-on-rails","266412"
".net","246764"
"c","240986"
"angularjs","218721"
"iphone","216535"
"arrays","211574"
"sql-server","189932"
"json","185301"
"ruby","176027"
"r","168796"
"ajax","162183"
"regex","160974"
"node.js","158023"
"xml","151911"
"asp.net-mvc","149404"
"linux","139727"
"django","135834"
"swift","133589"
"wpf","127150"
"database","123753"
"excel","112428"
"xcode","110743"
"string","108107"
"vb.net","107270"
"wordpress","106920"
"windows","105171"
"eclipse","104102"
"spring","103418"
"html5","99303"
"multithreading","93960"
"git","81129"
"oracle","79803"
"bash","79027"
"forms","78629"
"image","77845"
"facebook","77055"
"mongodb","76730"
"twitter-bootstrap","75816"
"vba","75617"
"osx","74859"
"algorithm","72437"
"winforms","71964"
"apache","69548"
"matlab","68274"
"performance","67439"
"swing","64857"
"entity-framework","64819"
"postgresql","64426"
"visual-studio","64273"
"python-2.7","62826"
"scala","61920"
"linq","61882"
"hibernate","60977"
"list","60858"
"css3","60648"
"excel-vba","56571"
"qt","56190"
"ruby-on-rails-3","55418"
".htaccess","55236"
"perl","54748"
"web-services","54412"
"laravel","54254"
"function","54087"
"sqlite","53220"
"shell","52424"
"rest","51320"
"file","50959"
"codeigniter","50734"
"python-3.x","50538"
"api","50372"
"cordova","50127"
"uitableview","49993"
"maven","49398"
"google-maps","49029"
"sql-server-2008","48855"
"validation","47004"
"unit-testing","46930"
"wcf","46788"
"class","46757"
"visual-studio-2010","46634"
"sockets","45646"
"symfony2","45074"
"google-chrome","44817"
"loops","44029"
"jsp","43417"
"xaml","43313"
"tsql","43085"
"sorting","42661"
"date","42368"
"android-layout","42332"
"powershell","42002"
"email","41911"
"csv","41484"
"listview","40695"
"http","40425"
"actionscript-3","40395"
"security","40246"
"spring-mvc","39976"
"oop","39469"
"asp.net-mvc-4","39371"
"asp.net-mvc-3","38735"
"user-interface","38527"
"parsing","38249"
"azure","38080"
"delphi","37930"
"google-app-engine","37662"
"selenium","36709"
"jquery-ui","36358"
"cocoa","36259"
"pandas","36144"
"amazon-web-services","36120"
"datetime","35851"
"magento","35829"
"opencv","35784"
"c++11","35600"
"android-studio","34957"
"angular2","34817"
"internet-explorer","34780"
"debugging","34647"
"batch-file","34641"
"templates","34567"
"flash","34401"
"session","34400"
"ruby-on-rails-4","34249"
"pointers","34067"
"ipad","34063"
"variables","33932"
"cocoa-touch","33929"
"unix","33586"
"ubuntu","33390"
"object","32828"
"reactjs","32815"
"ms-access","32576"
"numpy","32199"
"hadoop","32040"
"jsf","31760"
"tomcat","31689"
"haskell","31248"
"android-fragments","30803"
"authentication","30645"
"pdf","30276"
"url","30166"
"facebook-graph-api","29885"
"dictionary","29884"
"if-statement","29794"
"firefox","29672"
"for-loop","29597"
"express","29433"
"animation","29220"
"generics","29207"
"winapi","28873"
"jpa","28842"
"ssl","28607"
"redirect","28560"
"opengl","27817"
"cakephp","27731"
"silverlight","27706"
"exception","27678"
"events","27675"
"servlets","27468"
"mod-rewrite","27328"
"inheritance","27285"
"xslt","26948"
"caching","26931"
"dom","26581"
"curl","26564"
"grails","26390"
"testing","26351"
"iis","26328"
"math","26249"
"select","26195"
"search","26057"
"button","26052"
"post","25991"
"java-ee","25914"
"asynchronous","25392"
"gcc","25315"
"join","25216"
"meteor","24793"
"audio","24753"
"stored-procedures","24709"
"flex","24483"
"svn","24258"
"recursion","24235"
"image-processing","24204"
"networking","24141"
"video","24115"
"d3.js","24109"
"android-intent","24075"
"c#-4.0","23973"
"canvas","23961"
"logging","23622"
"assembly","23566"
"visual-c++","23558"
"memory","23543"
"iframe","23518"
"nginx","23286"
"android-activity","23234"
"core-data","23219"
"razor","23142"
"design-patterns","23090"
"apache-spark","23088"
"heroku","23086"
"elasticsearch","23049"
"cookies","22917"
"gridview","22908"
"encryption","22797"
"activerecord","22775"
"typescript","22762"
"visual-studio-2012","22744"
"jquery-mobile","22698"
"matrix","22653"
"svg","22622"
"unity3d","22486"
"optimization","22361"
"xpath","22320"
"serialization","22114"
"github","22109"
"model-view-controller","22062"
"mobile","21611"
"sharepoint","21539"
"asp.net-web-api","21477"
"web","21426"
"jdbc","21404"
"extjs","21391"
"matplotlib","21227"
"soap","21044"
"arraylist","20962"
"google-maps-api-3","20698"
"vim","20666"
"checkbox","20640"
"ember.js","20567"
"layout","20498"
"multidimensional-array","20491"
"vector","20400"
"go","20319"
"memory-management","20318"
"backbone.js","20244"
"jenkins","20139"
"intellij-idea","20094"
"windows-phone-7","20047"
"text","20008"
"random","20006"
"twitter","19988"
"zend-framework","19962"
"boost","19944"
"firebase","19942"
"file-upload","19936"
"gwt","19903"
"docker","19765"
"selenium-webdriver","19754"
"gradle","19753"
"netbeans","19605"
"xamarin","19473"
"input","19386"
"mysqli","19383"
"mvvm","19304"
"methods","19253"
"browser","18999"
"dynamic","18946"
"dll","18866"
"design","18858"
"parse.com","18689"
"javafx","18668"
"indexing","18515"
"windows-phone-8","18508"
"visual-studio-2013","18285"
"plugins","18212"
"sql-server-2005","18130"
"data-structures","18052"
"nhibernate","18044"
"database-design","17905"
"dataframe","17812"
"table","17772"
"plot","17771"
"drupal","17713"
"pdo","17634"
"reflection","17615"
"ionic-framework","17590"
"file-io","17548"
"knockout.js","17446"
"reporting-services","17419"
"awk","17228"
"unicode","17156"
"time","17029"
"web-applications","17000"
"data-binding","16876"
"amazon-s3","16852"
"twitter-bootstrap-3","16750"
"hash","16718"
"service","16576"
"groovy","16568"
"struct","16553"
"ssh","16515"
"drop-down-menu","16327"
"spring-boot","16321"
"paypal","16272"
"encoding","16247"
"graph","16151"
"replace","16060"
"laravel-5","16031"
"sed","15992"
"primefaces","15976"
"amazon-ec2","15946"
"login","15827"
"collections","15766"
"visual-studio-2008","15708"
"django-models","15701"
"jsf-2","15636"
"command-line","15583"
"yii","15541"
"deployment","15533"
"angularjs-directive","15530"
"uiview","15510"
"google-chrome-extension","15504"
"printing","15488"
"view","15394"
"utf-8","15379"
"visual-studio-2015","15359"
"charts","15327"
"ggplot2","15265"
"highcharts","15233"
"scroll","15223"
"solr","15210"
"android-listview","15187"
"junit","15125"
"datagridview","15068"
"flask","15061"
"makefile","14998"
"graphics","14970"
"tcp","14956"
"ios7","14895"
"emacs","14859"
"spring-security","14852"
"google-apps-script","14851"
"lambda","14846"
"plsql","14804"
"foreach","14737"
"webview","14674"
"types","14616"
"tfs","14598"
"vbscript","14541"
"https","14325"
"memory-leaks","14305"
"rspec","14243"
"filter","14149"
"mongoose","14131"
"joomla","14083"
"tkinter","14082"
"laravel-4","14059"
"oauth","14030"
"syntax","13969"
"machine-learning","13952"
"import","13943"
"dependency-injection","13901"
"playframework","13853"
"cmd","13822"
"fonts","13805"
"ant","13738"
"jar","13704"
"error-handling","13700"
"javascript-events","13671"
"hyperlink","13597"
"timer","13571"
"linq-to-sql","13555"
"uiviewcontroller","13539"
"concurrency","13530"
"oracle11g","13421"
"doctrine2","13384"
"orm","13382"
"parameters","13310"
"colors","13271"
"combobox","13243"
"version-control","13156"
"constructor","13141"
"clojure","13135"
"google-analytics","13089"
"while-loop","13073"
"enums","13060"
"datatable","13057"
"build","12883"
"properties","12840"
"binding","12825"
"process","12770"
"interface","12751"
"jquery-plugins","12640"
"casting","12612"
"bitmap","12600"
"kendo-ui","12531"
"merge","12417"
"module","12409"
"devise","12385"
"opengl-es","12370"
"neo4j","12361"
"android-asynctask","12327"
"npm","12320"
"ssis","12290"
"menu","12283"
"datagrid","12266"
"configuration","12264"
"websocket","12248"
"exception-handling","12224"
"url-rewriting","12148"
"io","12141"
"proxy","12139"
"responsive-design","12118"
"autocomplete","12102"
"ios5","12100"
"jboss","12099"
"triggers","12038"
"split","11961"
"sqlite3","11937"
"download","11925"
"lua","11923"
"terminal","11882"
"sql-server-2012","11787"
"model","11763"
"scope","11705"
"architecture","11689"
"nullpointerexception","11634"
"bluetooth","11627"
"youtube","11594"
"count","11505"
"reference","11407"
"cassandra","11407"
"ffmpeg","11396"
"safari","11374"
"webforms","11338"
"parallel-processing","11298"
"static","11286"
"coldfusion","11275"
"stl","11262"
"compiler-errors","11261"
"asp.net-mvc-5","11231"
"path","11224"
"3d","11211"
"scripting","11197"
"compilation","11178"
"callback","11127"
"datepicker","11081"
"background","11074"
"controller","11057"
"ios4","11048"
"push-notification","11035"
"xsd","10964"
"pagination","10926"
"character-encoding","10893"
"permissions","10892"
"transactions","10836"
"tabs","10828"
"phpmyadmin","10790"
"f#","10755"
"upload","10741"
"linked-list","10724"
"ftp","10701"
"web-scraping","10679"
"sdk","10675"
"outlook","10660"
"redis","10644"
"uiscrollview","10622"
"get","10588"
"ms-word","10579"
"tree","10566"
"linux-kernel","10547"
"dns","10525"
"struts2","10516"
"routing","10490"
"insert","10448"
"cocos2d-iphone","10447"
"windows-7","10416"
"windows-8","10413"
"camera","10402"
"group-by","10378"
"null","10373"
"react-native","10362"
"socket.io","10345"
"macros","10324"
"asp-classic","10321"
"sass","10308"
"jqgrid","10212"
"three.js","10193"
"android-ndk","10143"
"notifications","10130"
"server","10100"
"google-spreadsheet","10096"
